Player,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,2015-16,2014-15,2013-14,2012-13,2011-12,2010-11,2009-10,2008-09,2007-08,2006-07,2005-06,2004-05,2003-04,2002-03,2001-02,2000-01,1999-00,1998-99,1997-98,1996-97
Jaren Jackson Jr,9180560.0,7648637.0,7348116.0,6385911.0,,,,,,,,,,,,,,,,,4610946.0,2757935.0,4059636.0,,461442.0,429130.0
James Wiseman,9166800.0,9200926.0,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Green,8992080.0,,,,,,,,,,,,,,,,,,,,,,,,,
De'Anthony Melton,8805976.0,10087766.0,1502883.0,1023217.0,,,,,,,,,,,,,,,,,,,,,,
Royce O'Neale,8800000.0,8958273.0,1716796.0,1486028.0,904653.0,,,,,,,,,,,,,,,,,,,,,
Nerlens Noel,8800000.0,5269572.0,1997194.0,1894870.0,4644746.0,4942570.0,3936801.0,3779027.0,3691185.0,,,,,,,,,,,,,,,,,
Jakob Poeltl,8750000.0,8538659.0,3982881.0,3177817.0,3134106.0,3048133.0,,,,,,,,,,,,,,,,,,,,
Maxi Kleber,8750000.0,8931925.0,8485759.0,1486028.0,904653.0,,,,,,,,,,,,,,,,,,,,,
Thomas Bryant,8666667.0,8782620.0,8485759.0,1486028.0,904653.0,,,,,,,,,,,,,,,,,,,,,
RJ Barrett,8623920.0,8675571.0,8316002.0,,,,,,,,,,,,,,,,,,,,,,,
Alex Caruso,8600000.0,2898264.0,2916979.0,83291.0,85683.0,56364.0,,,,,,,,,,,,,,,,,,,,
Delon Wright,8526316.0,9485230.0,10048925.0,2735298.0,1824801.0,1778044.0,1718448.0,,,,,,,,,,,,,,,,,,,
Dario Saric,8510000.0,9748709.0,3693411.0,2724453.0,2687023.0,2613362.0,,,,,,,,,,,,,,,,,,,,
Monte Morris,8449074.0,1816639.0,1684668.0,1454912.0,85683.0,,,,,,,,,,,,,,,,,,,,,
Tyus Jones,8376286.0,9292514.0,10730243.0,2635191.0,1632008.0,1510201.0,1459683.0,,,,,,,,,,,,,,,,,,,
Trae Young,8326471.0,6926115.0,6653896.0,5782719.0,,,,,,,,,,,,,,,,,,,,,,
Daniel Theis,8280351.0,5269572.0,5303599.0,1486028.0,904653.0,,,,,,,,,,,,,,,,,,,,,
LaMelo Ball,8231760.0,8262647.0,,,,,,,,,,,,,,,,,,,,,,,,
Seth Curry,8207518.0,8256839.0,7914434.0,3013585.0,3359012.0,3266872.0,1078500.0,54748.0,77164.0,,,,,,,,,,,,,,,,,
JaMychal Green,8200000.0,7587931.0,5056452.0,8697527.0,9464891.0,1105225.0,962123.0,278956.0,,,,,,,,,,,,,,,,,,
Cedi Osman,8133334.0,9317215.0,3083664.0,2992021.0,2931369.0,,,,,,,,,,,,,,,,,,,,,
Evan Mobley,8075160.0,,,,,,,,,,,,,,,,,,,,,,,,,
De'Andre Hunter,7775400.0,7822153.0,7497550.0,,,,,,,,,,,,,,,,,,,,,,,
DJ Augustin,7622467.0,7026097.0,7690219.0,7816992.0,8041460.0,8172816.0,3415583.0,3419810.0,689152.0,4143909.0,3895659.0,3166639.0,3004851.0,2742799.0,,,,,,,,,,,,
Mo Bamba,7568743.0,6290857.0,6043558.0,5252242.0,,,,,,,,,,,,,,,,,,,,,,
Ivica Zubac,7518518.0,7377401.0,6875037.0,1665775.0,1455904.0,1166587.0,,,,,,,,,,,,,,,,,,,,
TJ McConnell,7500000.0,3688700.0,3712519.0,1725689.0,1632008.0,985964.0,597832.0,,,,,,,,,,,,,,,,,,,
